"QUERY PLAN"
"Nested Loop  (cost=3187220.49..3192859.30 rows=112776 width=76) (actual time=70317.296..71692.333 rows=8 loops=1)"
"  CTE aggregated"
"    ->  Finalize GroupAggregate  (cost=3155547.39..3184683.02 rows=112776 width=44) (actual time=70316.001..71691.061 rows=8 loops=1)"
"          Group Key: st.name, (CASE WHEN ((ss.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'discount + special offer'::text WHEN ((ss.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NULL)) THEN 'only discount'::text WHEN ((ss.fk_discount_id IS NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'only special offer'::text ELSE 'none'::text END)"
"          ->  Gather Merge  (cost=3155547.39..3181863.62 rows=225552 width=44) (actual time=70315.979..71691.027 rows=24 loops=1)"
"                Workers Planned: 2"
"                Workers Launched: 2"
"                ->  Sort  (cost=3154547.36..3154829.30 rows=112776 width=44) (actual time=70184.862..70185.155 rows=8 loops=3)"
"                      Sort Key: st.name, (CASE WHEN ((ss.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'discount + special offer'::text WHEN ((ss.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NULL)) THEN 'only discount'::text WHEN ((ss.fk_discount_id IS NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'only special offer'::text ELSE 'none'::text END)"
"                      Sort Method: quicksort  Memory: 25kB"
"                      Worker 0:  Sort Method: quicksort  Memory: 25kB"
"                      Worker 1:  Sort Method: quicksort  Memory: 25kB"
"                      ->  Partial HashAggregate  (cost=2881437.53..3141611.71 rows=112776 width=44) (actual time=70182.148..70184.053 rows=8 loops=3)"
"                            Group Key: st.name, CASE WHEN ((ss.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'discount + special offer'::text WHEN ((ss.fk_discount_id IS NOT NULL) AND (tso.fk_special_offer_id IS NULL)) THEN 'only discount'::text WHEN ((ss.fk_discount_id IS NULL) AND (tso.fk_special_offer_id IS NOT NULL)) THEN 'only special offer'::text ELSE 'none'::text END"
"                            Planned Partitions: 4  Batches: 1  Memory Usage: 1561kB"
"                            Worker 0:  Batches: 1  Memory Usage: 1561kB"
"                            Worker 1:  Batches: 1  Memory Usage: 1561kB"
"                            ->  Parallel Hash Left Join  (cost=422064.61..1389330.14 rows=16578971 width=40) (actual time=59339.391..65908.592 rows=6589642 loops=3)"
"                                  Hash Cond: (t._id = tso.fk_ticket_id)"
"                                  ->  Hash Left Join  (cost=405564.49..1143323.43 rows=16578971 width=12) (actual time=36141.706..55915.571 rows=6577865 loops=3)"
"                                        Hash Cond: (ss.fk_seat_screening_type_id = st._id)"
"                                        ->  Parallel Hash Join  (cost=405563.42..1069746.86 rows=16578971 width=12) (actual time=36138.329..53222.232 rows=6577865 loops=3)"
"                                              Hash Cond: (ss.fk_ticket_id = t._id)"
"                                              ->  Parallel Seq Scan on seat_screening ss  (cost=0.00..424144.03 rows=16779203 width=12) (actual time=6.750..14380.762 rows=13405335 loops=3)"
"                                              ->  Parallel Hash  (cost=270603.65..270603.65 rows=8226062 width=4) (actual time=18360.430..18360.431 rows=6577865 loops=3)"
"                                                    Buckets: 262144  Batches: 256  Memory Usage: 5120kB"
"                                                    ->  Parallel Seq Scan on ticket t  (cost=0.00..270603.65 rows=8226062 width=4) (actual time=0.927..15775.278 rows=6577865 loops=3)"
"                                                          Filter: (status = ANY ('{used,valid}'::ticket_status[]))"
"                                                          Rows Removed by Filter: 83061"
"                                        ->  Hash  (cost=1.03..1.03 rows=3 width=8) (actual time=3.322..3.324 rows=3 loops=3)"
"                                              Buckets: 1024  Batches: 1  Memory Usage: 9kB"
"                                              ->  Seq Scan on seat_screening_type st  (cost=0.00..1.03 rows=3 width=8) (actual time=3.309..3.311 rows=3 loops=3)"
"                                  ->  Parallel Hash  (cost=9200.94..9200.94 rows=444894 width=8) (actual time=715.516..715.517 rows=355915 loops=3)"
"                                        Buckets: 262144  Batches: 8  Memory Usage: 7296kB"
"                                        ->  Parallel Seq Scan on ticket_special_offer tso  (cost=0.00..9200.94 rows=444894 width=8) (actual time=0.711..587.738 rows=355915 loops=3)"
"  ->  CTE Scan on aggregated  (cost=0.00..2255.52 rows=112776 width=44) (actual time=70316.007..70316.011 rows=8 loops=1)"
"  ->  Materialize  (cost=2537.46..2537.48 rows=1 width=32) (actual time=0.087..0.087 rows=1 loops=8)"
"        ->  Aggregate  (cost=2537.46..2537.47 rows=1 width=32) (actual time=0.682..0.683 rows=1 loops=1)"
"              ->  CTE Scan on aggregated aggregated_1  (cost=0.00..2255.52 rows=112776 width=8) (actual time=0.008..0.067 rows=8 loops=1)"
"Planning Time: 61.495 ms"
"Execution Time: 71696.885 ms"
