"QUERY PLAN"
"Gather Merge  (cost=1703524.57..1703528.07 rows=30 width=82) (actual time=44893.553..45828.621 rows=8 loops=1)"
"  Workers Planned: 2"
"  Workers Launched: 2"
"  ->  Sort  (cost=1702524.55..1702524.59 rows=15 width=82) (actual time=44813.329..44813.378 rows=3 loops=3)"
"        Sort Key: screening.start_time"
"        Sort Method: quicksort  Memory: 25kB"
"        Worker 0:  Sort Method: quicksort  Memory: 25kB"
"        Worker 1:  Sort Method: quicksort  Memory: 25kB"
"        ->  Parallel Hash Join  (cost=571349.61..1702524.26 rows=15 width=82) (actual time=35718.962..44813.088 rows=3 loops=3)"
"              Hash Cond: (ticket.fk_payment_id = payment._id)"
"              ->  Hash Join  (cost=447521.08..1534650.00 rows=16779203 width=66) (actual time=33873.167..43019.757 rows=6660926 loops=3)"
"                    Hash Cond: (seat_screening.fk_seat_id = seat._id)"
"                    ->  Parallel Hash Join  (cost=446108.96..1489188.73 rows=16779203 width=66) (actual time=33856.620..39524.415 rows=6660926 loops=3)"
"                          Hash Cond: (seat_screening.fk_screening_id = screening._id)"
"                          ->  Parallel Hash Join  (cost=394509.77..1099983.21 rows=16779203 width=21) (actual time=19274.379..30173.986 rows=6660926 loops=3)"
"                                Hash Cond: (seat_screening.fk_ticket_id = ticket._id)"
"                                ->  Parallel Seq Scan on seat_screening  (cost=0.00..424144.03 rows=16779203 width=17) (actual time=0.477..8498.222 rows=13405335 loops=3)"
"                                ->  Parallel Hash  (cost=249790.12..249790.12 rows=8325412 width=12) (actual time=7445.899..7445.900 rows=6660926 loops=3)"
"                                      Buckets: 262144  Batches: 256  Memory Usage: 5760kB"
"                                      ->  Parallel Seq Scan on ticket  (cost=0.00..249790.12 rows=8325412 width=12) (actual time=0.397..5358.416 rows=6660926 loops=3)"
"                          ->  Parallel Hash  (cost=33043.53..33043.53 rows=833333 width=53) (actual time=1364.114..1364.124 rows=666667 loops=3)"
"                                Buckets: 131072  Batches: 32  Memory Usage: 6624kB"
"                                ->  Hash Join  (cost=1216.68..33043.53 rows=833333 width=53) (actual time=20.424..1070.433 rows=666667 loops=3)"
"                                      Hash Cond: (room.fk_cinema_id = cinema._id)"
"                                      ->  Hash Join  (cost=1201.43..30822.24 rows=833333 width=33) (actual time=19.889..874.008 rows=666667 loops=3)"
"                                            Hash Cond: (screening.fk_room_id = room._id)"
"                                            ->  Hash Join  (cost=1131.57..28561.13 rows=833333 width=29) (actual time=19.060..679.250 rows=666667 loops=3)"
"                                                  Hash Cond: (movie_version.fk_movie_id = movie._id)"
"                                                  ->  Hash Join  (cost=821.57..26062.71 rows=833333 width=20) (actual time=13.312..431.952 rows=666667 loops=3)"
"                                                        Hash Cond: (screening.fk_movie_version_id = movie_version._id)"
"                                                        ->  Parallel Seq Scan on screening  (cost=0.00..23053.33 rows=833333 width=20) (actual time=0.138..90.857 rows=666667 loops=3)"
"                                                        ->  Hash  (cost=454.03..454.03 rows=29403 width=8) (actual time=12.992..12.992 rows=29403 loops=3)"
"                                                              Buckets: 32768  Batches: 1  Memory Usage: 1405kB"
"                                                              ->  Seq Scan on movie_version  (cost=0.00..454.03 rows=29403 width=8) (actual time=0.241..6.770 rows=29403 loops=3)"
"                                                  ->  Hash  (cost=185.00..185.00 rows=10000 width=17) (actual time=5.666..5.667 rows=10000 loops=3)"
"                                                        Buckets: 16384  Batches: 1  Memory Usage: 623kB"
"                                                        ->  Seq Scan on movie  (cost=0.00..185.00 rows=10000 width=17) (actual time=0.149..3.676 rows=10000 loops=3)"
"                                            ->  Hash  (cost=38.83..38.83 rows=2483 width=12) (actual time=0.805..0.806 rows=2483 loops=3)"
"                                                  Buckets: 4096  Batches: 1  Memory Usage: 139kB"
"                                                  ->  Seq Scan on room  (cost=0.00..38.83 rows=2483 width=12) (actual time=0.060..0.408 rows=2483 loops=3)"
"                                      ->  Hash  (cost=9.00..9.00 rows=500 width=28) (actual time=0.522..0.522 rows=500 loops=3)"
"                                            Buckets: 1024  Batches: 1  Memory Usage: 39kB"
"                                            ->  Seq Scan on cinema  (cost=0.00..9.00 rows=500 width=28) (actual time=0.087..0.417 rows=500 loops=3)"
"                    ->  Hash  (cost=787.61..787.61 rows=49961 width=8) (actual time=16.378..16.378 rows=49961 loops=3)"
"                          Buckets: 65536  Batches: 1  Memory Usage: 2464kB"
"                          ->  Seq Scan on seat  (cost=0.00..787.61 rows=49961 width=8) (actual time=0.120..7.396 rows=49961 loops=3)"
"              ->  Parallel Hash  (cost=123828.47..123828.47 rows=4 width=4) (actual time=1070.174..1070.175 rows=1 loops=3)"
"                    Buckets: 1024  Batches: 1  Memory Usage: 72kB"
"                    ->  Parallel Seq Scan on payment  (cost=0.00..123828.47 rows=4 width=4) (actual time=681.820..1069.927 rows=1 loops=3)"
"                          Filter: (fk_client_id = 260921)"
"                          Rows Removed by Filter: 3333332"
"Planning Time: 12.882 ms"
"Execution Time: 45829.667 ms"
