"QUERY PLAN"
"Sort  (cost=36163.59..36163.62 rows=12 width=33) (actual time=883.112..883.543 rows=10417 loops=1)"
"  Sort Key: mvsc.screening_count DESC, m.title"
"  Sort Method: quicksort  Memory: 920kB"
"  CTE movie_version_screening_count"
"    ->  Finalize HashAggregate  (cost=35562.71..35662.71 rows=10000 width=16) (actual time=802.456..806.092 rows=29403 loops=1)"
"          Group Key: mv.fk_movie_id, mv.fk_version_id"
"          Batches: 1  Memory Usage: 3601kB"
"          ->  Gather  (cost=33312.71..35412.71 rows=20000 width=16) (actual time=742.156..762.960 rows=88209 loops=1)"
"                Workers Planned: 2"
"                Workers Launched: 2"
"                ->  Partial HashAggregate  (cost=32312.71..32412.71 rows=10000 width=16) (actual time=683.360..692.075 rows=29403 loops=3)"
"                      Group Key: mv.fk_movie_id, mv.fk_version_id"
"                      Batches: 1  Memory Usage: 3601kB"
"                      Worker 0:  Batches: 1  Memory Usage: 3601kB"
"                      Worker 1:  Batches: 1  Memory Usage: 3601kB"
"                      ->  Hash Join  (cost=821.57..26062.71 rows=833333 width=12) (actual time=13.541..400.073 rows=666667 loops=3)"
"                            Hash Cond: (s.fk_movie_version_id = mv._id)"
"                            ->  Parallel Seq Scan on screening s  (cost=0.00..23053.33 rows=833333 width=8) (actual time=0.366..84.350 rows=666667 loops=3)"
"                            ->  Hash  (cost=454.03..454.03 rows=29403 width=12) (actual time=12.991..12.993 rows=29403 loops=3)"
"                                  Buckets: 32768  Batches: 1  Memory Usage: 1520kB"
"                                  ->  Seq Scan on movie_version mv  (cost=0.00..454.03 rows=29403 width=12) (actual time=0.153..5.898 rows=29403 loops=3)"
"  ->  Nested Loop  (cost=257.37..500.67 rows=12 width=33) (actual time=816.701..853.645 rows=10417 loops=1)"
"        ->  Hash Join  (cost=257.08..496.49 rows=12 width=24) (actual time=816.679..833.725 rows=10417 loops=1)"
"              Hash Cond: ((mvsc.fk_movie_id = movie_version_screening_count.fk_movie_id) AND (mvsc.screening_count = (max(movie_version_screening_count.screening_count))))"
"              ->  Hash Join  (cost=2.08..228.89 rows=2400 width=20) (actual time=802.526..812.567 rows=29403 loops=1)"
"                    Hash Cond: (mvsc.fk_version_id = v._id)"
"                    ->  CTE Scan on movie_version_screening_count mvsc  (cost=0.00..200.00 rows=10000 width=16) (actual time=802.460..804.866 rows=29403 loops=1)"
"                    ->  Hash  (cost=1.48..1.48 rows=48 width=12) (actual time=0.042..0.045 rows=48 loops=1)"
"                          Buckets: 1024  Batches: 1  Memory Usage: 11kB"
"                          ->  Seq Scan on version v  (cost=0.00..1.48 rows=48 width=12) (actual time=0.026..0.030 rows=48 loops=1)"
"              ->  Hash  (cost=252.00..252.00 rows=200 width=12) (actual time=14.139..14.143 rows=10000 loops=1)"
"                    Buckets: 16384 (originally 1024)  Batches: 1 (originally 1)  Memory Usage: 597kB"
"                    ->  HashAggregate  (cost=250.00..252.00 rows=200 width=12) (actual time=12.361..13.285 rows=10000 loops=1)"
"                          Group Key: movie_version_screening_count.fk_movie_id"
"                          Batches: 1  Memory Usage: 1185kB"
"                          ->  CTE Scan on movie_version_screening_count  (cost=0.00..200.00 rows=10000 width=12) (actual time=0.001..7.322 rows=29403 loops=1)"
"        ->  Index Scan using movie_pkey on movie m  (cost=0.29..0.35 rows=1 width=17) (actual time=0.002..0.002 rows=1 loops=10417)"
"              Index Cond: (_id = mvsc.fk_movie_id)"
"Planning Time: 1.043 ms"
"Execution Time: 887.230 ms"
