"QUERY PLAN"
"Nested Loop  (cost=784646.46..784646.54 rows=1 width=96) (actual time=19919.051..20195.021 rows=1 loops=1)"
"  ->  Finalize Aggregate  (cost=598179.20..598179.21 rows=1 width=64) (actual time=15330.750..15551.748 rows=1 loops=1)"
"        ->  Gather  (cost=598178.98..598179.19 rows=2 width=16) (actual time=15328.382..15551.730 rows=3 loops=1)"
"              Workers Planned: 2"
"              Workers Launched: 2"
"              ->  Partial Aggregate  (cost=597178.98..597178.99 rows=1 width=16) (actual time=15281.808..15282.164 rows=1 loops=3)"
"                    ->  Parallel Hash Join  (cost=181773.05..534738.39 rows=8325412 width=4) (actual time=10195.807..14711.170 rows=6660926 loops=3)"
"                          Hash Cond: (t.fk_payment_id = p._id)"
"                          ->  Parallel Seq Scan on ticket t  (cost=0.00..249790.12 rows=8325412 width=4) (actual time=1.524..5782.903 rows=6660926 loops=3)"
"                                Filter: (fk_payment_id IS NOT NULL)"
"                          ->  Parallel Hash  (cost=113411.58..113411.58 rows=4166758 width=8) (actual time=2572.860..2572.861 rows=3333333 loops=3)"
"                                Buckets: 262144  Batches: 128  Memory Usage: 5184kB"
"                                ->  Parallel Seq Scan on payment p  (cost=0.00..113411.58 rows=4166758 width=8) (actual time=0.474..1667.728 rows=3333333 loops=3)"
"  ->  Finalize Aggregate  (cost=186467.26..186467.27 rows=1 width=64) (actual time=4587.436..4642.399 rows=1 loops=1)"
"        ->  Gather  (cost=186467.04..186467.25 rows=2 width=16) (actual time=4585.827..4642.378 rows=3 loops=1)"
"              Workers Planned: 2"
"              Workers Launched: 2"
"              ->  Partial Aggregate  (cost=185467.04..185467.05 rows=1 width=16) (actual time=4525.433..4525.751 rows=1 loops=3)"
"                    ->  Parallel Hash Join  (cost=17387.00..182342.04 rows=416667 width=4) (actual time=3570.386..4499.122 rows=333333 loops=3)"
"                          Hash Cond: (p_1._id = ps.fk_payment_id)"
"                          ->  Parallel Seq Scan on payment p_1  (cost=0.00..113411.58 rows=4166758 width=8) (actual time=0.392..2528.813 rows=3333333 loops=3)"
"                          ->  Parallel Hash  (cost=10550.67..10550.67 rows=416667 width=4) (actual time=260.428..260.429 rows=333333 loops=3)"
"                                Buckets: 262144  Batches: 8  Memory Usage: 6976kB"
"                                ->  Parallel Seq Scan on product_sale ps  (cost=0.00..10550.67 rows=416667 width=4) (actual time=0.316..166.041 rows=333333 loops=3)"
"Planning Time: 3.102 ms"
"Execution Time: 20195.271 ms"
